gcr.io/google-containers/hyperkube-s390x v1.9.0-alpha.1 {'date': '20170923', 'ok': True, 'err': 'None', 'digest': u'sha256:ed155f2e1b4849fb18697a23a4329f2dea1d7a10bc5315e3402c48cd453d96d9'}
gcr.io/google-containers/hyperkube-s390x v1.9.0-alpha.0 {'date': '20170902', 'ok': True, 'digest': u'sha256:37a5df7080c1f760e361baa50e5209ff285db95eca53497c0faede78c692fd66', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.9.0-alpha.3 {'date': '20171116', 'ok': True, 'err': 'None', 'digest': u'sha256:9af2d60cab41cedf1c4d642375ba74cb04a1ede0d0d79dc467c610aa44218a90'}
gcr.io/google-containers/hyperkube-s390x v1.9.0-alpha.2 {'date': '20171102', 'ok': True, 'digest': u'sha256:5c2afd765dde6800638ff5047baab44a752ffe4a85b7dad4356d0c71142646de', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.7.3-beta.0 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:abd525bd9614752e601eda921c08de08c469b3aa58d1225f1455140b6c50f001'}
gcr.io/google-containers/hyperkube-s390x v1.6.0-rc.1 {'date': '20170731', 'ok': True, 'err': 'None', 'digest': u'sha256:398a0d7da73b4c518c07b4b0b1352b504281852773b4e9f9d1d121d5e1b20bea'}
gcr.io/google-containers/hyperkube-s390x v1.13.0-alpha.2 {'date': '20181024', 'ok': True, 'err': 'None', 'digest': u'sha256:9163d66fa2e38510c6547f8b219f43dc9dd7b130c755612f1131b34ae86b6008'}
gcr.io/google-containers/hyperkube-s390x v1.13.0-alpha.1 {'date': '20181016', 'ok': True, 'digest': u'sha256:02f9b950f004dbd3e1ee7234a7dd3fc1a2ddec746ed0c6688428ee8423762b05', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.10.11 {'date': '20181127', 'ok': True, 'err': 'None', 'digest': u'sha256:7df7d25a83fe38df857b54456af289d63e2e230c4556ceb9a06ba3ce67e4b140'}
gcr.io/google-containers/hyperkube-s390x v1.11.3-beta.0 {'date': '20180808', 'ok': True, 'digest': u'sha256:2a38890448efeead9ee3aa322cb59224a81a837f104c859c6b17108d37ef54f3', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.11.1-beta.0 {'date': '20180628', 'ok': True, 'err': 'None', 'digest': u'sha256:93476f47d2f1b1a920f5c97c70ccd17859a35e23d34bf68fd1ae86d0e01bc1af'}
gcr.io/google-containers/hyperkube-s390x v1.13.0-alpha.0 {'date': '20180815', 'ok': True, 'err': 'None', 'digest': u'sha256:3aebe3d0c66cc8d2d88ba760c8eeb1621c42b3211b767eaad2f7aa57cc0139e6'}
gcr.io/google-containers/hyperkube-s390x v1.9.0 {'date': '20171216', 'ok': True, 'err': 'None', 'digest': u'sha256:c33a6c024682eae7cf1bd2e3a9efeb603fd5fa6b7bc33078c1292669f22f1218'}
gcr.io/google-containers/hyperkube-s390x v1.7.12-beta.0 {'date': '20171126', 'ok': True, 'digest': u'sha256:d63fe9fb3f86c6fe1ab967b037d3892fee862f7e6d4c50d22a1c296eee73a37a', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.13-beta.0 {'date': '20171026', 'ok': True, 'digest': u'sha256:ba1cc0f1d582121f2131c5c8bcb6fd588d4f798c29dfc914e9fccd48d4fb021b', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.7.13-beta.0 {'date': '20171229', 'ok': True, 'err': 'None', 'digest': u'sha256:da128dd7d48dc23efe1cd3ec0b2c2edfa66c4db3767f62e42303e60e401c6381'}
gcr.io/google-containers/hyperkube-s390x v1.12.0-rc.2 {'date': '20180922', 'ok': True, 'err': 'None', 'digest': u'sha256:ae97eaa6c1cb0714d046866ff1ae445f767758a201f7917ce4eb97fb6d93dbee'}
gcr.io/google-containers/hyperkube-s390x v1.6.6 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:4a0ec25f025aece788ed7ba4b8ab23b4c80aa360293a7fc1b98fab14b8421479'}
gcr.io/google-containers/hyperkube-s390x v1.8.1-beta.0 {'date': '20170929', 'ok': True, 'digest': u'sha256:2a5fc7211c31dada60a0df4dd31bd2eac0f7e9bdc18d3d2ac9a3fb1221aaabee', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.10.7-beta.0 {'date': '20180726', 'ok': True, 'err': 'None', 'digest': u'sha256:52d1d50259eb62f35751b23f5c57567af83865c99d8966764cf326b6d05fb0bb'}
gcr.io/google-containers/hyperkube-s390x v1.10.13 {'date': '20190213', 'ok': True, 'err': 'None', 'digest': u'sha256:9099beb08e504178ea89b40ba36edb350133cf9e562721b547caf205dac6c712'}
gcr.io/google-containers/hyperkube-s390x v1.10.12 {'date': '20181219', 'ok': True, 'digest': u'sha256:26185ba12ea97611de5b8b86067831cecfaa57ef33b5fbd651ec2a06aecc227b', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.6.4-beta.0 {'date': '20170730', 'ok': True, 'digest': u'sha256:5518a4fce746ddb3fd12eb9a7ef7bda1e25785babe93a9ac27cab4ff52e92baa', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.9.10-beta.0 {'date': '20180629', 'ok': True, 'err': 'None', 'digest': u'sha256:34f0344c243c97e017796ffba2c45e472a7f6c35477461b49a08d080b9980f51'}
gcr.io/google-containers/hyperkube-s390x v1.11.0-rc.3 {'date': '20180627', 'ok': True, 'digest': u'sha256:bdf54edac71a1af78dc1c60c3d5016229c9d92333f518a7f5f9788839c54f979', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.13.5-beta.0 {'date': '20190228', 'ok': True, 'err': 'None', 'digest': u'sha256:5daba9a8ce9791fd59b6fa4e57d113427d8560c2cbadbcf50617dbee09097ed6'}
gcr.io/google-containers/hyperkube-s390x v1.13.4-beta.0 {'date': '20190202', 'ok': True, 'err': 'None', 'digest': u'sha256:5735b274810617f287688b0ddd6837e9cbabfc8dc26577290c55de1c9ded73b4'}
gcr.io/google-containers/hyperkube-s390x v1.6.7-beta.0 {'date': '20170730', 'ok': True, 'digest': u'sha256:efc525a5f29a2503386305d3161cc6058755368ce0cdf4f15250e58a0aa30414', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.7.2-beta.0 {'date': '20170730', 'ok': True, 'err': 'None', 'digest': u'sha256:794ecaef610ffed33539f5836c1eac184d4241a9d27e33c1a93ff68cecad1c3d'}
gcr.io/google-containers/hyperkube-s390x v1.9.11-beta.0 {'date': '20180803', 'ok': True, 'digest': u'sha256:5cbc6ec37f0b380a331956ff1f315efdccd47c9dac6e45a559ec9c8bf10ed1fd', 'err': 'None'}
gcr.io/google-containers/hyperkube-s390x v1.8.15-beta.0 {'date': '20180620', 'ok': True, 'digest': u'sha256:913eb60f2d792179c7f9548f8b0b6eb96ef72348a26bf420b236493bf7a7ee2a', 'err': 'None'}
